file_name,cwe,line
trakkulup.net.js,CWE-20,37
tradeschoolsecret.com.js,CWE-20,113
trade2win.com.js,CWE-20,37
track718.us.js,CWE-20,1307
track718.eu.js,CWE-20,1307
track718.com.js,CWE-20,1307
tourplay.net.js,CWE-20,1261
toteat.app.js,CWE-20,222
topone899.live.js,CWE-20,1930
topdeck.ru.js,CWE-20,203
toolsvilla.com.js,CWE-20,1261
tookhuay24.com.js,CWE-20,1930
tong998.com.js,CWE-20,1930
tokyoadultguide.com.js,CWE-20,37
todd-doors.co.uk.js,CWE-20,34
toasterjeep.com.js,CWE-20,37
tninfo24.in.js,CWE-20,99
tnfunerals.com.js,CWE-20,413
tndeer.com.js,CWE-20,12
tlaq.com.js,CWE-20,413
tk.no.js,CWE-20,2745
tk.no.js,CWE-20,485
tjarksa.com.js,CWE-20,37
tisodung188bet.com.js,CWE-20,12
tirunelvelicorporation.in.js,CWE-20,99
tipstrr.com.js,CWE-20,1246
tippland.de.js,CWE-20,9
tinnitustalk.com.js,CWE-20,37
timebomb2000.com.js,CWE-20,37
ticklingforum.com.js,CWE-20,37
threatintelligence.com.js,CWE-20,413
thotbook.top.js,CWE-20,37
thinkpad-forum.de.js,CWE-20,37
thinkfirefly.com.js,CWE-20,413
thiendia.vip.js,CWE-20,37
thexpos.net.js,CWE-20,1246
thexpdv.com.js,CWE-20,1246
thewom.it.js,CWE-20,117
thewinstarclub.com.js,CWE-20,2057
thestockexchange.com.au.js,CWE-20,37
thestalkingdirectory.co.uk.js,CWE-20,37
thesocialkhabar.in.js,CWE-20,99
thesims.cc.js,CWE-20,37
therxforum.com.js,CWE-20,37
therundown.ai.js,CWE-20,113
theroyalforums.com.js,CWE-20,37
thepompeyforum.com.js,CWE-20,37
theplattform.net.js,CWE-20,1246
theoutdoorstrader.com.js,CWE-20,37
theologyonline.com.js,CWE-20,37
thenakedtruth.reviews.js,CWE-20,37
thematrixbet.com.js,CWE-20,2057
themarinabays.com.js,CWE-20,2057
themailorderbride.com.js,CWE-20,1912
theluckydate.com.js,CWE-20,18
thelaw.com.js,CWE-20,37
thekking.is.js,CWE-20,413
theinsneider.com.js,CWE-20,113
theineosforum.com.js,CWE-20,37
thehotpepper.com.js,CWE-20,37
